sign	date	prediction
aries	2013-01-01	 Mostrarás una actitud muy positiva durante todo el día y derrocharás buen humor. Valorarás lo importante que es iniciar el nuevo año con las personas que te importan. Dedicarás gran parte de la jornada al descanso tras una noche demasiado larga.
tauro	2013-01-01	 Te sentirás con fuerza para tomar una decisión drástica que implique cambios en tu vida. No te importará el que dirán, ni tendrás miedo a fallar. Es el momento adecuado para hacerlo y si te equivocas, tendrás la sensación de haberlo intentado.
geminis	2013-01-01	 Después de la fiesta nocturna, hoy necesitarás quedarte en casa para descansar. Intenta utilizar la voz lo menos posible para recuperarte de los excesos. Quizá dediques buena parte de la jornada a reflexionar sobre algo que pasó recientemente.
cancer	2013-01-01	 Hoy estarás para pocas bromas y no tendrás ganas de ver a nadie, aunque quizá tengas un compromiso familiar ineludible. Procura que no se note tu malestar y evita meterte en discusiones vanas. Mantente lejos de los conflictos y guarda tus opiniones más controvertidas.
leo	2013-01-01	 Enero es un buen mes para tomar decisiones y afrontar nuevos retos. La disposición planetaria os otorgará protección y hará que acertéis con vuestros actos. También es buen momento para poner en marcha nuevas ideas que darán su fruto más adelante, incluso para dar un giro radical en aquellos aspectos vitales que os desagraden.
virgo	2013-01-01	 Inicias el nuevo año con un estado anímico inmejorable, a pesar de todo y hoy no rechazarás ningún plan que te surja. Con los demás te mostrarás muy sociable y predispuesto. Quizá alguien cercano necesite hoy tu compañía, o por lo menos tus palabras a través del teléfono.
libra	2013-01-01	 Estos días tendrás que asumir muchas responsabilidades, pero encontrarás el apoyo de tus compañeros que secundarán todas tus propuestas. Te mostrarás acertado con tus decisiones y sabrás adelantarte a los problemas. Concluirás con éxito cualquier proyecto en el que te embarques.
escorpio	2013-01-01	 Inicias el año de manera convulsa. Quizá un amigo te decepcione o te demuestre que no merece tu confianza. Sentirás que te sucede lo que no deseas y que se te niega aquello que anhelas. No es buen momento para afrontar cambios importantes. Espera a que la tormenta escampe.
sagitario	2013-01-01	 Hoy querrás disfrutar de lo hogareño. Ayer te excediste en todos los sentidos y necesitas descansar. Repasa tus propósitos para el nuevo año y descarta los que no sean realistas. Tendrás motivos para la alegría a través de un e-mail o de las redes sociales.
capricornio	2013-01-01	 Tu compromiso y paciencia harán que la suerte se ponga de tu lado. Encontrarás la solución a un problema que parecía no tener fin. Además, encadenarás una serie de buenas noticias. En el terreno profesional, iniciarás el año igual que lo despides, con éxito y reconocimientos.
acuario	2013-01-01	 Desecha las ideas negativas de tu mente. Muchas veces, nuestros fracasos están relacionados con la poca confianza que tenemos en nosotros mismos. Si tienes la sensación de que nunca logras tus objetivos deberías reflexionar si realmente tienes claro cuáles son.
piscis	2013-01-01	 Quizá te plantees retomar los estudios o formarte en un área nueva. Medita bien tu decisión teniendo en cuenta el tiempo disponible y tus recursos económicos. Además, reflexiona si actúas guiado por tus deseos íntimos o por la influencia de otras personas.
aries	2013-01-02	 Después del ajetreo de los días previos te costará algo volver a la rutina. Una vez más iniciarás el año con buenos propósitos. Si no te fijas metas irreales lograrás lo que te propongas. Hoy te mostrarás muy comunicativo con los demás, empático y querrás estar rodeado de gente.
tauro	2013-01-02	 Tu mayor enemigo serás tu mismo. Si no dosificas tu energía corres el peligro de sufrir un accidente doméstico. Conviene que te relajes y prestes más atención a todo lo que haces, aunque tampoco intentes resolver en un día el trabajo acumulado de una semana.
geminis	2013-01-02	 Durante las últimas semanas has tenido muchos gastos extras propios de la época, pero afrontarás enero sin mayores dificultades. Sin embargo, conviene que te controles y no pierdas la cabeza en las rebajas. No te dejes tentar por el capricho, valora la necesidad.
cancer	2013-01-02	 Los Cáncer sois un signo hogareño y no soportáis demasiado desorden a vuestro alrededor. Hoy querrás organizar tu casa ya que durante las fiestas la has dejado un segundo plano. Aprovecha para deshacerte de trastos viejos e inservibles. Te sentirás mejor cuando veas cada cosa en su sitio.
leo	2013-01-02	 Marte continúa influyendo en tus decisiones y te hace estar combativo y demasiado obstinado hoy. Es necesario que revises cómo son tus relaciones, en especial con los hijos o la familia. No tenses demasiado la cuerda, deja más libertad a tu alrededor.
virgo	2013-01-02	 El influjo de Venus hará que te muestres creativo, pero si no aprovechas esta energía todo se reducirá a buenos propósitos. Es el momento de pasar a la acción y de asumir riesgos. Aunque no encuentres apoyos, atrévete a sacar adelante un nuevo proyecto.
libra	2013-01-02	 Quizá tengas que solucionar con urgencia algún asunto legal. Conviene que ordenes tus papeles, estudies con calma toda la documentación y te pongas con ello cuanto antes. Posibilidad de noticias favorables relacionadas con la economía, pero debes actuar con cautela.
escorpio	2013-01-02	 Hoy te sentirás algo bajo de moral, quizá por los vaivenes de los últimos días. Probablemente te apetezca estar solo y dedicar el tiempo a alguna actividad individual como la lectura. No obstante, recibirás con agrado cualquier visita inesperada.
sagitario	2013-01-02	 Como buen Sagitario eres impredecible y a veces cuesta seguirte el juego. Sin embargo, esta cualidad te proporcionará éxitos en el ámbito profesional. Un encuentro con alguien influyente te guiará en tus pasos. Si ves movimientos extraños a tu alrededor, desconfía.
capricornio	2013-01-02	 Vas a empezar a valorar un cambio en tu situación sentimental que quizá te lleve a adquirir un mayor compromiso, a un cambio de domicilio o a una convivencia. Como es propio en ti lo harás de una manera en la que no pierdes del todo tu independencia.
acuario	2013-01-02	 Tu excesiva curiosidad podría meterte en más de un problema hoy. Conviene que no creas todo lo que oigas y que, ni mucho menos, lo comentes con todo el mundo. Tanto los solteros como los comprometidos podrían llevarse una decepción en el plano emocional.  
piscis	2013-01-02	 No sufras si estas fiestas te has excedido y has cogido alguno de esos kilos que con tanto esfuerzo habías perdido. Con un poco de fuerza de voluntad, pero sobre todo con cabeza, recuperarás tu imagen habitual. Evita una invitación que realmente no merece la pena.
aries	2013-01-03	 Haz caso a los consejos de un amigo sobre un asunto sentimental o una aventura que ya viene de hace algún tiempo. Debes de poner ciertas barreras, poner en valor quien eres y quizá sea mejor hacerlo con hechos y no con palabras en esta ocasión. Mejorará tu autoestima.
tauro	2013-01-03	 En el trabajo se vivirán momentos de tensión por un proyecto que no termina de salir o que no da los frutos que se esperaba. Intenta que no se note tu preocupación pues solo servirá para caldear más el ambiente. Quizá recibas una información privilegiada que te ayudará a tomar uno u otro camino.
geminis	2013-01-03	 Una persona cercana, quizá tu pareja, recordará continuamente ciertos errores que cometiste en el pasado. Conviene que le pongas los puntos sobre las íes y que le impidas seguir con esa actitud. Una cosa es que asumas tus equivocaciones y otra muy distinta que se te condene por ellas.
cancer	2013-01-03	 Las palabras de un superior harán que recuperes la tranquilidad y la confianza en ti mismo. Dejarás atrás las semanas de incertidumbre y afrontarás con optimismo las nuevas tareas que se te encomienden. Con tus compañeros de trabajo mantendrás una actitud cercana y de empatía.
leo	2013-01-03	 Hoy querrás salir de tiendas para liberar tensiones. Ve con cautela pues el estrés puede hacer que compres más de lo que necesitas. Asume que antes o después tendrás que hacer frente a los problemas que tienes. Una persona cercana te desconcertará por su forma de actuar. 
virgo	2013-01-03	 Deberías mantener una conversación íntima con tu pareja para aclarar algunas diferencias. Quizá solo sea un malentendido, pero si dejáis que corra el tiempo podría tomar otras dimensiones. Los solteros preferirán estar más centrados en el trabajo que en los asuntos del corazón.  
libra	2013-01-03	 Hoy tu intuición será una buena aliada. Un asunto que te preocupa se resolverá si muestras un poco de humildad y sigues las recomendaciones de tus padres, de un hermano o un superior. Alguien cercano estará muy inspirado con sus comentarios o indicaciones.
escorpio	2013-01-03	 Tendencia a los conflictos hoy. Conviene que moderes tus comentarios y que no digas nada de lo que te puedas arrepentir. No pierdas los nervios con tu pareja ni saques trapos sucios solamente por tu afán de discutir. Deja pasar ese mal humor que se puede apoderar de ti.
sagitario	2013-01-03	 La generosidad que demostraste en el pasado revertirá en ti de forma positiva. Alguien a quien ayudaste pensará en ti para un asunto de índole profesional. Se aproximan días de armonía con tus seres queridos. Mostrarás una actitud positiva que te ayudará a lograr lo que te propongas.
capricornio	2013-01-03	 No tengas prisa para lograr las metas que te has fijado. A menudo el camino más corto es el más complicado. Tómate las cosas con más calma y disfruta de cada momento, sabes hacerlo de sobra, así que no hay ningún motivo para acelerar los acontecimientos.
