sign	date	prediction
aries	2017-01-01	 Descubrirás tu pasión casi como por arte de magia gracias a la colaboración de un amigo en el que hasta hace poco no confiabas del todo. Ábrete a todas las posibilidades que haya a tu alcance y demuéstrale al mundo lo que vales. No te dejes limitar por nadie.
tauro	2017-01-01	 No empezarás el día con buen pie, pero antes del almuerzo recibirás una llamada que te hará verlo todo de otro color. Debes dar las gracias a ese amigo que siempre aparece cuando más lo necesitas. Él te va a escuchar y gracias a él llegarás a conclusiones importantes.
geminis	2017-01-01	 Un ligero dolor de cabeza irá en aumento desde que te despiertes, pero un buen paseo al aire libre hará que desaparezca. Sobre todo necesitas relax y calma, no alterarte por nada y conectar con tu interior en busca de respuestas. Será un buen año.
cancer	2017-01-01	 No podrás empezar con mejor buen pie el año: compartirás con amigos un día único en el que todo será agradable, plácido y sencillo. Disfrutarás como un niño y por la tarde jugaréis a algo que no habías jugado antes, pero del que resultarás ganador. 
leo	2017-01-01	 Necesitarás estar a solas contigo mismo para poder descifrar el significado oculto que yace en tu interior y que tiene que ver con los siguientes pasos a dar. No temas nada, ni a nadie, solo continúa hacia delante sabiendo que el camino se irá abriendo a cada paso que des.
virgo	2017-01-01	 Te propondrán un plan que te resultará inquietante en un principio, pero que luego, si decides sumarte, te aportará muchas cosas buenas. No importa que no conozcas a todo el mundo: ábrete a los demás. Lo importantes es lo que hagas en este momento.
libra	2017-01-01	 Debes aclarar, cuanto antes, un malentendido que podría hacer mucho daño a la relación que mantienes con una persona querida. Las palabras, a veces, se las lleva el viento, pero en este caso tendrás que esforzarte por no tomarte a la tremenda algo que, en el fondo, te hará daño.
escorpio	2017-01-01	 Será un día de celebración, sí, pero también de grandes reflexiones que de algún modo podrían inquietarte. No temas nada: la oscuridad forma parte de la vida, y siempre contiene un aprendizaje que hay que atreverse a descifrar. Todo va a ir muy bien. 
sagitario	2017-01-01	 Una ola de optimismo te invadirá y sabrás, a un nivel profundo, que es posible lograr un sueño que viene de lejos. Tendrás que elaborar un plan exhaustivo para lograrlo y ponerte a ello paso a paso. No te preocupes si no ves resultados a la primera: lo verás. 
capricornio	2017-01-01	 No debes darle importancia a un tema algo peliagudo que pondrá sobre la mesa, precisamente hoy, tu pareja. Es posible que cambie de opinión en pocos días. En el aspecto económico hoy tendrás que afrontar una serie de gastos con los que no contabas.
acuario	2017-01-01	 Será un día en el que la esperanza y los buenos deseos te invadirán por completo: Si hablas con alguien cercano sobre un posible negocio para este año, es preferible que no te comprometas a nada, ni siquiera de palabra. Las cosas no serán como parecen.
piscis	2017-01-01	 El hecho de comenzar el día en un entorno natural hará que tu espíritu se contagie de la grandeza de la naturaleza. Te sentirás pleno por dentro y también por fuera, y estarás preparado para darle al mundo lo mejor de ti mismo. Este año todo va a ir sobre ruedas.
aries	2017-01-02	 Tu espíritu seguirá animándote a llevar a cabo algunos sueños que hasta ahora no te habías decidido ni siquiera a intentar. Todo es posible y puedes lograr lo que quieras, pero tendrás que pedir ayuda. Correrás el riesgo de tratar de ser autosuficiente en exceso.
tauro	2017-01-02	 La vuelta al trabajo no resultará del todo agradable, pero si conservas una buena actitud sucederá algo realmente bueno e inesperado. Aún no has desarrollado el potencial enorme que tienes para el trabajo. Pero lo que sembraste en el pasado empieza a dar frutos. 
geminis	2017-01-02	 Si aún sigues de vacaciones vivirás una estupenda oportunidad de aprendizaje al conocer a una persona de gran sabiduría. Es posible que se trate de alguien de avanzada edad o bien una mujer muy joven, pero muy experimentada al mismo tiempo. 
cancer	2017-01-02	 Encontrarás la salida a algo que te preocupa en el momento en que dejes de buscarla. Las cosas son más sencillas de lo que parecen, pero a veces no te das cuenta y las complicas tú solo. Si se trata de un asunto que tiene que ver con tus relaciones, fluye con ellas.
leo	2017-01-02	 Surgirá una complicación laboral a lo largo de la mañana: será algo que no podrás evitar ni solucionar por ti mismo. Pide ayuda a uno de tus superiores: serán ellos quienes puedan resolver algo que en realidad no tan complicado como te parecerá.
virgo	2017-01-02	 Sigue disfrutando de las vacaciones sin comerte mucho la cabeza, y sobre todo no pienses en lo que podrá pasar en el trabajo más adelante. Todo va a fluir, pero debes confiar y mantener ante los demás una seguridad en ti mismo que no siempre se hace evidente.
libra	2017-01-02	 Tu lado más seductor te abrirá las puertas de un mundo nuevo, al menos por esta noche. Descubrirás un valor que residía oculto en tu interior y que, desde este momento, te permitirá acceder a terrenos que hasta ahora habían permanecido cerrados para ti.
escorpio	2017-01-02	 Tu imaginación se verá desbordada y te dejarás llevar por una fantasía que no tendrá tanta base de realidad. Debes poner los pies en la tierra, bajar al suelo y darte cuenta de que lo más importante, el mayor regalo, lo tienes aquí y ahora. Valóralo.
sagitario	2017-01-02	 No bloquees tus propias emociones: aceptar tus sentimientos será importante para que puedas comprenderlos y así descifrar el mensaje que tengan para ti. Hoy vas a descubrir algo que no sabías de ti mismo: al principio te inquietará, pero luego entenderás que se trata de algo positivo.
capricornio	2017-01-02	 Te caerá como una losa pesada sobre la espalda una noticia con la que no contabas y que no te gustará en un principio, pero que luego solo te reportará alegrías. En el tema de las amistades te queda mucho por evolucionar: es el momento de aprender lecciones nuevas.
acuario	2017-01-02	 Sé tú mismo, los demás puestos están ocupados: no trates de aparentar lo que no eres, menos aún en días como hoy en los que otras personas tratarán de hacerte sentir algo pequeño. Tú no tienes de qué avergonzarte: tu misión es caminar tu senda, no la de los demás.
piscis	2017-01-02	 Vigila hoy tu diálogo interior y trata de no caer en pensamientos negativos que pueden boicotearte e impedir que consigas la meta que te has marcado. Por la tarde sucederá algo inesperado que requerirá que estés en tu centro y no te disperses con lo que suceda a tu alrededor.
aries	2017-01-03	 Evita las distracciones que te alejen de lo que hoy tienes planificado en la agenda. Necesitas ponerte al día con unos asuntos laborales tediosos pero importantes. Un amigo te propondrá acudir a un acto social, pero solo debes aceptar si terminas a tiempo el trabajo.
tauro	2017-01-03	 Tendrás que aclarar un asunto con un familiar antes de que lo que empezó siendo un malentendido se convierta en un conflicto importante. No debes ocultar nada: debes defender tu verdad. Esa será la vía más fácil para que el agua no llegue al río. 
