sign	date	prediction
aries	2015-01-01	 Año nuevo, vida nueva. Demuéstrate a ti mismo que puedes realmente comenzar a hacer las cosas de un modo diferente: eres muy valioso, y este es tu año. Pero debes creer en ti y en los tuyos y en el hecho de que, si pones tu intención en conseguir lo que quieres y perseveras, así será.
tauro	2015-01-01	 Te levantarás con un dolor de cabeza grave o moderado y sequedad de boca, por lo que, al menos al principio, no tendrás el buen ánimo que corresponde a este día. Todo cambiará por la tarde si tomas un desayuno nutritivo y un buen zumo y si das un paseo por un entorno natural.
geminis	2015-01-01	 No te preocupes ni un segundo si hoy no encuentras una cosa: aparecerá mañana o pasado, y no la vas a necesitar en un día como el de hoy en el que lo único que de verdad necesitarás será buena compañía y mucho amor. No puedes empezar el año de mejor manera.
cancer	2015-01-01	 Valora lo que tienes y a las personas que están a tu lado y expresa tus sentimientos: de nada sirve que te los guardes para ti. Hoy vivirás un día mágico en el que las cosas que normalmente te pasan por alto aflorarán a la superficie. Eres muy grande.
leo	2015-01-01	 Hoy surgirá la posibilidad de que gastes dinero en una cosa que no tenías prevista: contente. Te habías propuesto ahorrar, y realmente lo necesitas. Aprende a vivir con poco dinero durante un tiempo y, en menos de lo que imaginas, tendrás una cantidad considerable.
virgo	2015-01-01	 Necesitas desconectar, reír y divertirte tanto como otros necesitan la comida: ve con los amigos hoy y haz lo que más te gusta, pues así empezarás el año con la buena energía que necesitas. Proponte firmemente que los problemas no acaparen todas las áreas de tu vida.
libra	2015-01-01	 En cualquier momento del día recibirás una llamada de teléfono que, en un principio, te resultará inquietante, pero que, a medida que transcurra la conversación, te hará aprender algo importante siempre y cuando te muestres abierto y receptivo.
escorpio	2015-01-01	 En algún lugar verás, o quizá has visto ya, información de un taller que tendrá que ver con las emociones y que se imparte próximamente. No dudes en cambiar tu agenda y apuntarte: aumentar tu inteligencia emocional será definitivo para que puedas lograr tus objetivos.
sagitario	2015-01-01	 La vida empieza de nuevo para ti hoy: disfruta de cada segundo y mira la realidad que te rodea con ojos nuevos, los ojos del agradecimiento profundo que sientes por la existencia. Que nadie impida tu capacidad de contemplar la realidad con una mirada inocente.
capricornio	2015-01-01	 No te despertarás con el buen humor que corresponde al primer día del año, sobre todo por un dolor, posiblemente de estómago, que no se irá en casi todo el día. Aprende de tus posibles errores e investiga qué es lo que te está preocupando o qué excesos no debes repetir.
