sign	date	prediction
aries	2014-01-01	 Empiezas el año con mucho optimismo, sobre todo, en el terreno laboral. Ten cuidado porque a lo mejor no eres consciente de tus propias capacidades. Medita sobre cuáles son tus puntos fuertes y sácales el máximo partido. Si a tu actitud le añades un poco más de discreción, tendrás las de ganar. 
tauro	2014-01-01	 Tanto si tienes pareja como si la estás buscando, hoy será buen día para el amor. Tendrás momentos de felicidad que hacía tiempo no vivías. La jornada de hoy te hará recapacitar sobre hacía donde quieres dirigir tu vida. No tengas prisa, deja que todo siga su curso. 
geminis	2014-01-01	 Ya puedes empezar a pelear por lograr tu siguiente objetivo en el trabajo. Tienes todo a tu favor para tener éxito en cualquier operación. Pero al mismo tiempo, conviene que reflexiones sobre tus actos. Sólo en el caso en el que lo tengas muy claro, lánzate a por ello. 
cancer	2014-01-01	 Te sentirás especialmente atractivo y, entre tus propósitos para este año se encuentra el de cuidar más que nunca tu imagen. Hoy buscarás la armonía para evitar  discusiones. Estás muy seguro de ti mismo y transmites mucha confianza. Si trabajas de cara al público, estarás deslumbrante. 
leo	2014-01-01	 Hoy será un día especialmente fructífero en muchos sentidos. Tu mente será tu punto fuerte hoy aunque puede jugarte malas pasadas si no lo analizas todo con sumo cuidado. En el terreno afectivo te mostrarás celoso y el amor que sientes por tu pareja se resentirá en cierto modo.
virgo	2014-01-01	 Comenzarás el día de manera muy romántica. Estás muy abierto a la posibilidad de que una relación vaya en serio, pero todo lleva su tiempo. El año nuevo te depara grandes sorpresas en este terreno así que ten paciencia. No quieras correr demasiado.
libra	2014-01-01	 Rematarás algún asunto pendiente en un pequeño espacio de tiempo que vas a tener hoy, pero también debes aprovechar para tomar un poco el aire y eliminar toxinas, sobre todo si has caído en algún exceso poco conveniente para tu organismo. Haz un esfuerzo en este sentido.
escorpio	2014-01-01	 Pasarás la jornada un poco ausente en todos los sentidos, pero sólo es quizá un cierto cansancio de alguna celebración. Así que no debes preocuparte por esa sensación de vacío o de que no te apetezca mucho hablar. Duerme más y mañana lo verás todo más claro.
sagitario	2014-01-01	 Te llamará un amigo de la infancia para compartir recuerdos y la nostalgia te invadirá durante todo el día. No es malo pensar y mirar hacia dentro de uno mismo. Además, también supondrá una nueva entrada de ilusiones que te harán reorganizarte ahora que comienza otra etapa.
capricornio	2014-01-01	 Tanto evento social y familiar ha multiplicado tu habilidad para relacionarte con los demás. Hoy decidirás poner en marcha un plan para mejorar tu imagen que te permita sentirte bien contigo mismo. Procura que esos buenos propósitos de comienzo de año no caigan en saco roto.
acuario	2014-01-01	 Comienzas una racha de bienestar y ganancias en lo económico. Tu afán por aprender te hará superarte a cada momento. Lo peor, es que no te conformarás con lo que ya tienes, y te meterás en proyectos que te absorberán de nuevo. Los tuyos te necesitan, y más ahora. 
piscis	2014-01-01	 Estarás más tranquilo porque ya han pasado ciertos compromisos y reuniones que no te apetecían nada y que te suponían un cierto fingimiento y mantener el tipo. Al fin ya son historia y hoy vas a poder tomarte el día para lo que realmente te apetece, y disfrutarás.   
aries	2014-01-02	 Serás muy valorado en el trabajo por tu forma convincente de expresarte. Necesitarás utilizar las palabras adecuadas para dar tu versión de los hechos de un asunto escabroso. Tus jefes estarán contentos, pero no tanto tus compañeros de trabajo.
tauro	2014-01-02	 Estás mucho más tranquilo desde que tu pareja te apoya de forma incondicional. Necesitas el apoyo de la gente que quieres para sobrellevar la carga de trabajo que arrastras. Hoy tendrás uno de esos momentos de agobio que tanto temes, pero te repondrás rápido.   
geminis	2014-01-02	 El destino te sorprenderá de forma inesperada con una oferta laboral que no podrás rechazar. Nada impide que te lances a una nueva aventura. Puede resultar incluso terapéutico que te olvides de todo lo malo del pasado año. Hay cosas buena en el horizonte.
cancer	2014-01-02	 Eres muy propenso a dar los regalos antes de tiempo y luego llega el gran día y tienes las manos vacías. Dosifica tus ganas y resérvate para la noche de Reyes. Tu familia te agradecerá el detalle. Buena racha en los juegos de azar. La suerte te persigue aunque no la busques.   
leo	2014-01-02	 Tu pareja ha comenzado el año pidiéndote más de lo que le vienes dando. En el trabajo también te han dado alguna reprimenda. Tanta exigencia puede llevarte a perder los nervios. Hoy lo mejor será que huyas de todo aquello que suponga un grado de compromiso porque bastante tienes ya. 
virgo	2014-01-02	 Hoy discutirás con un amigo y estarás mal todo el día. En lugar de obviar lo que te pasa, descuelga el teléfono y arregla la situación. No tienes nada que temer y así evitarás que la relación se enturbie por un malentendido. Desafiarás a alguien en el trabajo y no te quedará más remedio que demostrar tu valía.  
libra	2014-01-02	 Siempre quieres ganar, incluso cuando juegas una partida de cartas con la familia. Hoy te tocará perder y no lo llevarás nada bien. Un familiar te pondrá en tu sitio ante un problema en el que no querrás dar la cara, es necesario que te hagas cargo de ciertas responsabilidades, enfréntate a las situaciones.
escorpio	2014-01-02	 Has empezado el año queriendo cumplir una serie de propósitos y te estás empeñando a fondo en ellos, aunque no quieras hacerlo todo de golpe, porque ciertas cosas requieren su tiempo. Quizá sería conveniente esperar a que acaben las fiestas para tomártelos más en serio.  
sagitario	2014-01-02	 Si tienes hijos, intentarás hablar con ellos de algunos temas espinosos que no acaban de gustarte porque crees que afectan negativamente a sus vidas. Aunque con cierta dificultad, llegas a un entendimiento y consigues que al menos se paren a reflexionar sobre esos asuntos.
