sign	date	prediction
aries	2011-01-01	Gracias a una invitación a una reunión o a una fiesta encontrarás a personas quienes están buscando cooperación para sacar adelante nuevos negocios. Tu capacidad y experiencia serán tus cartas de presentación con las que lograrás posición y dinero.
tauro	2011-01-01	Estos días debes estar atento a tu alrededor porque sin pensarlo, una gran pasión se cruzará en el camino y te desquiciará durante un tiempo. Tu familia y tus amigos se preocuparán por este cambio tan radical en tu comportamiento. ¡Ten mucho cuidado!
geminis	2011-01-01	Te sientes atraído por la tecnología moderna y los grandes cambios que están desarrollándose en el mundo. Tu vena intelectual está funcionando y es el momento de pensar en algún curso o máster para formarte más y aumentar tus posibilidades profesionales.
cancer	2011-01-01	Hay buenas noticias en tu vida amorosa. Lo que habías esperado durante tanto tiempo es tuyo y el regreso anhelado de quien tanto amas se convierte en una realidad. Si habíais estado separados temporalmente, esta situación termina y volveréis a estar juntos de nuevo.
leo	2011-01-01	Hoy podrías tener un nuevo trabajo, una nueva posición o incluso un cambio de domicilio. Sea cual sea este cambio, tendrás la oportunidad de conocer personas de quiénes tendrás mucho que aprender y compartir. Aunque tus amigos seguirán siendo los mismos de siempre.
virgo	2011-01-01	Debes estar alerta porque en medio de la gran felicidad que vivirás en los próximos días, aparecerá una persona que intentará desbaratar tu mundo, debido a los celos, ojo con esta persona. Sus intenciones no son las de perjudicarte pero no podrá evitar envidiarte.
libra	2011-01-01	Si tienes la mente abierta, hoy podría ser el día en el que ocurrirán cambios trascendentales en tu vida. Si estás sólo en este momento, dentro de muy poco tiempo, no lo estarás más. El verdadero amor tocará a tu puerta, siempre y cuando, aceptes nuevas experiencias.
escorpio	2011-01-01	El día de hoy te trae nuevas ilusiones a tu vida, nuevas amistades y relaciones. Es probable que no hayas podido sacarte del corazón a un amor que ya no está, sin embargo, los designios del destino indican que tendrás felicidad abriéndole la puerta a nuevas oportunidades.
sagitario	2011-01-01	Concéntrate bien en tus tareas laborales en este día ya que pueden surgir algunas interrupciones y causarte demoras en tu trabajo. Evita las conversaciones innecesarias con tus compañeros hasta no haber terminado tus actividades. Así no perderás tiempo.
capricornio	2011-01-01	Estás adquiriendo hábitos saludables en cuanto al cuidado de tu cuerpo se refiere y te sientes animado a empezar en un gimnasio o dedicarte a actividades físicas que puedan elevar tu nivel de resistencia y mejorar tu salud. Hagas lo que hagas, obtendrás muchos beneficios.
acuario	2011-01-01	Formar parte de la vanguardia y la actualidad es lo que más quieres, ya que aprecias todo lo que es diferente y fuera de lo común. Hoy te dedicarás a averiguar el método de poder dedicarte profesionalmente en un campo, donde tengas suficiente libertad para aplicar tu imaginación.
piscis	2011-01-01	No te apresures a cambiar de trabajo o de casa en estos momentos porque es lo menos recomendable. Actualmente lo que tu necesitas es estabilidad y si te guías por comentarios de personas ajenas, te podría perjudicar e incluso podrías perder empleo y posición.
aries	2011-01-02	Ya no queda nada para el fin de semana, y podrás celebrar a lo grande, rodeado de tu familia, la buena noticia que recibirás muy pronto. Vas a recibir todo lo que te mereces después de haber trabajado tanto últimamente. Necesitabas este reconocimiento para seguir adelante.
tauro	2011-01-02	Tu punto débil es la percepción que tienes de la verdad o de lo que es correcto. De modo que tiendes a utilizar la mitad de la verdad para lograr tus objetivos, pues piensas que el fin justifica los medios. Con esta actitud lo único que vas a conseguir es autoengañarte.
geminis	2011-01-02	Posees talento y creatividad en abundancia, pero probablemente no sabes cómo expresar esos dones de forma constructiva. También te resulta difícil separar la verdad de la ficción y por eso, las falsas ilusiones que creas tienen un efecto negativo en tus relaciones.
cancer	2011-01-02	Te planteas nuevas formas de mejorar tu economía, mediante nuevos proyectos e incluso montando tu propio negocio. Tendrás las ideas muy claras. Hoy disfrutarás de una vida social muy ajetreada, pues aunque se trate de cosas innecesarias, necesitas estar ocupado en algo.
leo	2011-01-02	Tú eres quien toma muchas veces las decisiones en la relación que tienes con tu pareja, y te olvidas de escuchar lo que tiene que decir la otra persona. Deja a un lado tu egoísmo y piensa más en lo que necesita tu pareja o pagarás las consecuencias.
virgo	2011-01-02	Una persona cercana a ti, te va a dar la lección más importante de tu vida. Aunque tienes que ser tu quien se de cuenta de lo que te conviene y lo que no. No querrás aceptar la realidad, porque esto implica que tengas que madurar. Un poco de ejercicio te sentará muy bien.
libra	2011-01-02	Para ti es muy importante estar activo para sentirte vivo, aunque esto implique que tengas que descansar menos. Concéntrate en lo que más te guste y sólo así te encontrarás mejor. Cambia el Chip y vas a notarte de muy buen humor y alegría, a medida que pasen los días.
escorpio	2011-01-02	Tu meta ahora mismo en el trabajo es conseguir dar una imagen más competente y eficaz. Estás en el punto de mira, debido a que últimamente has tenido algún que otro tropiezo. Si consigues superar este bache, nadie volverá a acordarse del pasado. Así que trabaja duro.
sagitario	2011-01-02	Usa tu creatividad al máximo para conseguir que tu dinero crezca mucho más. Tienes todo lo necesario pero hace falta que te pongas en acción. No olvides que debes cuidar de ti mismo por muchos problemas que tengas. Pero ten cuidado de no llegar a obsesionarte.
capricornio	2011-01-02	Hoy te plantearas un gran dilema: no sabrás si dedicar todo el tiempo al trabajo o estar exclusivamente con la familia. La decisión no es tan complicada, no tiene que ser todo o nada. Utiliza la cabeza y sabrás como poder dedicarle a cada cosa su tiempo.
acuario	2011-01-02	Si quieres triunfar en tu trabajo, debes tener la capacidad de afrontar cualquier contratiempo y sobre todo, saber afrontar los obstáculos que te puedas encontrar. No creas que siempre tienes la razón. Tu salud física mejorará si eliminas de tu cabeza las ideas negativas.
piscis	2011-01-02	Tiendes a juzgar a las cosas y a las personas antes de tiempo. Eres consciente de esta tendencia tuya y te molesta tu falta de objetividad, pero la verdad es que no te será fácil cambiar, ya que se trata de hábitos que con el tiempo se han convertido parte de tu carácter
aries	2011-01-03	Disfrutarás de este día con mucha alegría: del buen tiempo, de la compañía de tus seres queridos, etc. Hasta que recibirás una noticia muy agradable. Te sorprenderá y no sabrás reaccionar, pero te darás cuenta que sabías que esto iba a pasar y no lo remediaste. Busca una solución.
tauro	2011-01-03	¡Enhorabuena! Te mereces con creces el reconocimiento que te darán en tu trabajo, quizás incluso en forma de aumento de sueldo o de categoría. Aprovéchalo para consolidar tu puesto en tu compañía y de fortalecer tu autoestima. Vales mucho más de lo que tu piensas.
geminis	2011-01-03	Huye de las situaciones que te causen un estrés exagerado. Están consiguiendo que se te amargue tu carácter e impidiendo que seas la persona tan especial que eres. Tus amigos notarán este cambio y estarán a tu lado para mimarte. Volverás a ser tu mismo.
cancer	2011-01-03	No te dejes llevar por las falsas ilusiones en el amor y todo te irá a pedir de boca. Siendo un poco más realista no te llevarás decepciones sobre asuntos sin importancia. Si maduras y te superas a ti mismo, hará que seas una persona más completa y feliz.
leo	2011-01-03	Tu capacidad para adaptarte a los cambios dentro de tu trabajo, te está permitiendo sobresalir de todos los demás y sobretodo a llevar mejor la situación. Cuando los demás están aún quejándose, tu ya has estudiado la situación y has buscado la manera de sacar todo lo positivo.
virgo	2011-01-03	Aunque te encante viajar constantemente por todo el mundo, te gusta volver a tu ciudad con tu gente. Te llena de felicidad saber que perteneces a un lugar en el que siempre eres recibido con cariño y con los brazos abiertos. Sabes que algún día echarás raíces.
libra	2011-01-03	A veces, eres tan testarudo que te pones insoportable. Nadie es capaz de hacerte cambiar de opinión ni siquiera abres tu mente para escuchar. Esta actitud, te perjudica sobretodo en tu trabajo, pues no permites que haya un buen ambiente en tu equipo y perjudicas el resultado.
escorpio	2011-01-03	Utiliza el fin de semana para disfrutar con tus amigos, pero también saca tu tiempo para realizar actividades que beneficien tu salud. No te cuides sólo entre semana y cuando llegue el viernes comiencen todos los excesos. Así, no habrá valido la pena el esfuerzo diario.
sagitario	2011-01-03	Posiblemente tengas que atender varios asuntos urgentes a la vez. Estarás ocupado todo el día, sin parar un minuto y terminarás agotado. Pero llegado a casa, tu familia también te pedirá que estés al cien por cien con ellos. No te vuelvas loco e intenta dosificar tus energías.
capricornio	2011-01-03	Hoy tendrías que poner un poco más de dedicación y pasión dentro de tu vida sentimental. Tanto tu como tú pareja os estáis dejando llevar por la rutina diaria y estáis permitiendo que se pierda la magia. Recuerda que una relación la tienes que cuidar todos los días.
acuario	2011-01-03	Tienes que buscar un aliado en tu empresa para que te apoye en los momentos más complicados. Aunque seas una persona fuerte y con determinación, todos necesitamos a alguien para sentirnos acompañados. Agradecerás poder compartirlo y así podréis encontrar la mejor solución.
piscis	2011-01-03	Estás en el momento justo para definir exactamente que es lo que quieres conseguir en tu trabajo. Incluso tus contactos te podrían ayudar a buscar un nuevo trabajo, si ves que en el puesto actual no vas a conseguir lo que quieres. No dejes de buscar pues pronto encontrarás algo.
aries	2011-01-04	La cabeza te va a estallar y necesitas decir basta. Necesitas tener tranquilidad en el amor. Te has cansado de tirar tu sólo del carro y que tu pareja no haga nada para cuidar de vuestra relación. Estás totalmente bloqueado y necesitarás estar solo para poder reflexionar.
tauro	2011-01-04	Tu manera de hacer las cosas puede llegar a afectarte físicamente y perjudicar tu salud. Estás llevando tu cuerpo al limite de sus posibilidades desde hace bastante tiempo y si no lo remedias, irá a peor. Si no consigues remediarlo tu mismo, busca ayuda profesional.
geminis	2011-01-04	No te gusta ni el control ni la medida, y hoy especialmente tienes la adrenalina al máximo y no sabes controlarte. Incluso si lo que crees es que alguien te necesita, acudirás en su ayuda con todas tus armas, sin moderación, y esta conducta te puede perjudicar.
cancer	2011-01-04	La nómina es el mejor justificante para aguantar cada mañana el despertador, los atascos, los malos humos y a los compañeros y jefes. Pero hoy no sabrás como no morderte la lengua, no entiendes como pueden actuar de una manera tan indiferente tus compañeros frente a los problemas.
leo	2011-01-04	Intenta dialogar más con tu familia, sobre todo con tus hermanos. A veces, aunque os queréis mucho, os hacéis daño con tonterías. No te dejes nada en el tintero, sobre todo aquello que creas que debe ser aclarado oportunamente para que todos estéis bien.
virgo	2011-01-04	En tu trabajo, las estructuras laborales están dispuestas en jerarquía y en estos momentos en vez de ser algo negativo, a ti te puede beneficiar. Una de tus bazas a la hora de relacionarte con los demás será la palabra. Porque en ella reside tu poder de convicción y de conquista.
